Token	Frequency
the	157508
a	152174
N	147303
of	145263
or	69868
in	64855
and	63364
to	56349
s	32398
with	26836
an	26780
that	25373
V	25231
for	22760
by	22220
is	18016
genus	16699
on	16197
as	16182
from	13342
having	11914
who	11824
he	10040
used	9526
was	9040
his	8899
one	8329
up	7821
family	7767
at	7686
united	7663
states	7564
small	6956
be	6923
out	6788
not	6400
it	6067
are	6044
into	5696
flowers	5463
white	5228
any	5129
large	5063
which	5034
R	4774
tree	4767
especially	4754
she	4625
something	4616
person	4615
being	4575
north	4489
American	4319
usually	4272
her	4216
make	3797
its	3706
water	3693
act	3679
someone	3645
I	3635
two	3624
some	3610
leaves	3581
time	3557
order	3537
off	3504
relating	3498
can	3471
America	3467
state	3464
new	3422
red	3422
plant	3417
made	3374
they	3247
all	3170
has	3155
down	3146
yellow	3144
long	3141
body	3028
when	2993
over	2967
people	2929
black	2907
but	2906
have	2877
this	2817
system	2803
form	2796
common	2767
between	2764
their	2754
you	2700
part	2691
manner	2684
other	2673
old	2626
than	2591
through	2580
light	2569
World	2562
more	2509
about	2385
line	2352
were	2336
like	2323
man	2306
high	2306
often	2305
had	2299
first	2249
your	2233
group	2216
south	2200
tropical	2198
back	2197
without	2179
central	2167
work	2155
after	2142
number	2137
unit	2132
we	2120
great	2116
take	2113
river	2109
shaped	2101
language	2093
Eastern	2064
very	2060
consisting	2042
city	2007
no	1975
blue	1961
blood	1931
English	1928
good	1923
Western	1891
green	1889
around	1887
get	1884
place	1882
capital	1881
day	1878
law	1867
air	1866
sea	1864
set	1857
cause	1842
European	1825
life	1824
many	1794
northern	1794
use	1793
southern	1789
short	1788
head	1783
point	1780
born	1776
plants	1769
food	1768
so	1766
my	1762
whose	1755
quality	1751
another	1750
wood	1736
disease	1735
war	1715
t	1708
away	1697
type	1684
perennial	1681
where	1671
trees	1627
resembling	1623
money	1607
several	1588
fruit	1581
surface	1574
under	1567
hard	1560
grass	1556
go	1550
well	1524
give	1523
if	1517
sometimes	1515
fish	1496
area	1495
color	1495
together	1492
self	1492
found	1487
acid	1486
name	1484
shrub	1484
House	1483
low	1480
purple	1480
put	1476
characterized	1472
brown	1468
him	1467
only	1442
will	1440
during	1433
right	1427
end	1409
Europe	1409
class	1408
three	1402
various	1397
force	1396
John	1395
French	1375
sound	1374
cultivated	1360
position	1343
most	1340
do	1336
action	1332
process	1328
dark	1323
fern	1323
Asia	1321
edible	1319
way	1317
oil	1315
been	1314
cut	1313
member	1312
widely	1298
power	1296
ground	1271
trade	1271
book	1267
Africa	1266
hand	1261
wild	1257
evergreen	1255
skin	1249
face	1248
car	1245
living	1242
young	1242
against	1241
native	1237
herb	1235
computer	1232
side	1229
containing	1226
children	1221
before	1209
drug	1205
free	1203
open	1202
property	1201
government	1193
woman	1191
grey	1191
come	1184
human	1183
characteristic	1180
military	1170
pink	1168
British	1166
West	1164
move	1156
herbs	1151
equal	1145
game	1141
little	1136
play	1130
country	1129
flower	1124
Indian	1123
e	1122
church	1122
each	1112
child	1108
control	1106
field	1106
music	1104
become	1103
Roman	1098
de	1094
there	1092
public	1092
fire	1085
certain	1084
shrubs	1082
heart	1080
horse	1079
me	1075
sweet	1075
cell	1073
land	1067
soft	1065
ball	1062
such	1060
room	1060
east	1058
orange	1053
hold	1052
party	1051
making	1049
republic	1045
information	1035
four	1035
lacking	1032
liquid	1032
second	1032
paper	1024
placed	1022
change	1021
run	1016
turn	1016
center	1013
president	1009
strong	1008
social	1004
same	1003
business	1002
along	999
earth	997
material	996
particular	996
hair	989
substance	987
left	986
word	984
southeastern	984
mountain	982
home	980
bearing	980
capable	976
break	970
call	966
deep	964
given	958
behavior	957
bird	955
service	953
what	950
school	950
etc	947
King	942
animal	941
marked	938
heavy	938
parts	929
vein	929
leaf	928
metal	928
caused	928
general	927
close	923
period	921
device	921
full	920
pine	917
degree	916
battle	915
saint	913
g	912
known	907
colored	905
our	905
near	898
single	897
structure	895
piece	893
gas	891
movement	890
region	890
shape	875
energy	872
words	869
source	868
eye	866
rock	866
African	865
tall	865
agent	863
physical	861
annual	861
writer	861
ancient	860
flat	857
considered	853
base	852
God	852
England	850
stock	849
spoken	847
things	846
last	840
political	840
coast	839
southwestern	839
activity	837
pass	835
years	831
bone	830
Mexico	830
California	830
them	827
different	827
others	823
important	822
similar	822
branch	821
condition	820
dog	819
ship	818
largest	816
major	813
year	810
amount	810
feeling	807
grown	804
muscle	802
organization	801
much	800
instrument	800
William	798
thin	797
formed	796
death	795
related	795
produced	794
company	793
round	792
building	792
animals	789
space	788
machine	787
court	785
top	784
speech	782
town	781
china	780
hot	779
natural	779
pressure	778
night	778
mind	777
motion	777
regions	777
narrow	775
now	773
wind	772
clear	771
mental	769
sexual	769
growing	767
sun	766
