Word	DEPENDER_Cardinality
a	73121
a	73121
a	73121
a	73121
a	73121
a	73121
a	73121
in	43489
in	43489
in	43489
in	43489
in	43489
in	43489
in	43489
by	18009
by	18009
as	13524
as	13524
as	13524
as	13524
as	13524
as	13524
as	13524
as	13524
as	13524
as	13524
on	10317
on	10317
on	10317
on	10317
on	10317
used	8978
used	8978
used	8978
used	8978
used	8978
used	8978
used	8978
used	8978
used	8978
united	6909
united	6909
united	6909
united	6909
united	6909
united	6909
united	6909
united	6909
small	6087
small	6087
small	6087
small	6087
small	6087
small	6087
small	6087
small	6087
small	6087
small	6087
small	6087
small	6087
small	6087
genus	5651
genus	5651
be	5458
be	5458
be	5458
be	5458
be	5458
be	5458
be	5458
be	5458
be	5458
be	5458
be	5458
be	5458
be	5458
be	5458
one	5298
one	5298
one	5298
one	5298
one	5298
one	5298
one	5298
one	5298
one	5298
at	4998
at	4998
especially	4831
especially	4831
any	4826
any	4826
not	4401
large	4399
large	4399
large	4399
large	4399
large	4399
large	4399
large	4399
large	4399
large	4399
large	4399
large	4399
usually	4289
being	4171
being	4171
being	4171
being	4171
being	4171
being	4171
being	4171
being	4171
being	4171
being	4171
being	4171
being	4171
being	4171
being	4171
being	4171
north	4028
north	4028
north	4028
north	4028
north	4028
north	4028
north	4028
north	4028
north	4028
are	3844
are	3844
are	3844
are	3844
are	3844
are	3844
are	3844
are	3844
are	3844
are	3844
are	3844
are	3844
are	3844
are	3844
make	3709
make	3709
make	3709
make	3709
make	3709
make	3709
make	3709
make	3709
make	3709
make	3709
make	3709
make	3709
make	3709
make	3709
make	3709
make	3709
make	3709
make	3709
make	3709
make	3709
make	3709
make	3709
make	3709
make	3709
make	3709
make	3709
make	3709
make	3709
make	3709
make	3709
make	3709
make	3709
make	3709
make	3709
make	3709
make	3709
make	3709
make	3709
make	3709
make	3709
make	3709
make	3709
make	3709
make	3709
make	3709
make	3709
make	3709
make	3709
make	3709
make	3709
make	3709
person	3699
person	3699
person	3699
someone	3342
act	3163
act	3163
act	3163
act	3163
act	3163
act	3163
act	3163
act	3163
act	3163
act	3163
act	3163
act	3163
act	3163
act	3163
act	3163
some	2973
some	2973
some	2973
some	2973
some	2973
white	2922
white	2922
white	2922
white	2922
white	2922
white	2922
white	2922
white	2922
white	2922
white	2922
white	2922
white	2922
white	2922
white	2922
white	2922
white	2922
white	2922
white	2922
white	2922
white	2922
white	2922
white	2922
white	2922
white	2922
white	2922
manner	2834
manner	2834
manner	2834
form	2629
form	2629
form	2629
form	2629
form	2629
form	2629
form	2629
form	2629
form	2629
form	2629
form	2629
form	2629
form	2629
form	2629
form	2629
form	2629
form	2629
form	2629
form	2629
form	2629
form	2629
form	2629
form	2629
state	2616
state	2616
state	2616
state	2616
state	2616
state	2616
state	2616
state	2616
state	2616
state	2616
state	2616
made	2502
made	2502
made	2502
made	2502
made	2502
made	2502
made	2502
made	2502
made	2502
made	2502
made	2502
made	2502
made	2502
made	2502
made	2502
made	2502
made	2502
made	2502
made	2502
made	2502
made	2502
made	2502
made	2502
made	2502
made	2502
made	2502
made	2502
made	2502
made	2502
made	2502
made	2502
made	2502
made	2502
made	2502
made	2502
made	2502
made	2502
made	2502
made	2502
made	2502
made	2502
made	2502
made	2502
made	2502
made	2502
made	2502
made	2502
made	2502
made	2502
made	2502
made	2502
made	2502
between	2378
between	2378
body	2374
body	2374
body	2374
body	2374
body	2374
body	2374
body	2374
body	2374
body	2374
body	2374
body	2374
body	2374
two	2346
two	2346
two	2346
family	2309
family	2309
family	2309
family	2309
family	2309
family	2309
family	2309
family	2309
other	2302
other	2302
other	2302
other	2302
tree	2270
tree	2270
tree	2270
tree	2270
tree	2270
tree	2270
tree	2270
can	2258
can	2258
can	2258
can	2258
can	2258
can	2258
can	2258
can	2258
part	2222
part	2222
part	2222
part	2222
part	2222
part	2222
part	2222
part	2222
part	2222
part	2222
part	2222
part	2222
part	2222
part	2222
part	2222
part	2222
part	2222
part	2222
often	2197
often	2197
often	2197
cause	2187
cause	2187
cause	2187
cause	2187
cause	2187
cause	2187
cause	2187
plant	2164
plant	2164
plant	2164
plant	2164
plant	2164
plant	2164
plant	2164
plant	2164
plant	2164
plant	2164
people	2109
people	2109
people	2109
people	2109
people	2109
people	2109
but	2107
tropical	2086
tropical	2086
tropical	2086
tropical	2086
more	2022
more	2022
more	2022
more	2022
more	2022
order	1969
order	1969
order	1969
order	1969
order	1969
order	1969
order	1969
order	1969
order	1969
order	1969
order	1969
order	1969
order	1969
order	1969
order	1969
order	1969
order	1969
order	1969
order	1969
order	1969
order	1969
order	1969
order	1969
