,Frequency
’,1231
child,1164
“,881
”,875
question,516
one,502
‘,426
two,289
explanation,269
thought,262
word,248
point,233
u,233
adult,210
age,209
why,207
case,207
therefore,206
1,198
first,196
7,185
may,184
—,182
fact,179
work,177
language,172
type,166
make,166
thing,165
understanding,163
shall,163
see,162
example,156
without,152
would,152
logical,151
causal,142
view,141
little,138
go,135
ego-centrism,134
relation,134
answer,133
lev,133
6,132
even,130
3,130
made,129
give,129
conversation,128
another,127
stage,127
e,126
place,123
etc,120
know,119
verbal,118
action,117
form,116
phenomenon,113
way,113
subject,111
justification,111
schema,111
result,110
general,110
water,110
understood,109
everything,108
must,107
ego-centric,107
given,106
mean,106
th,106
chapter,106
say,104
thus,104
idea,103
take,103
group,103
speech,102
8,102
object,102
like,101
order,100
also,99
far,97
function,96
del,95
story,95
come,94
mind,94
remark,94
year,93
piaget,92
others,91
talk,91
5,91
de,90
time,90
show,90
reason,89
pie,89
syncretism,89
put,89
explainer,88
jean,88
monologue,88
much,87
different,85
social,84
understand,83
i.e.,83
always,83
argument,82
connexion,81
2,80
still,80
selected,80
upon,79
category,78
find,78
sentence,77
certain,77
less,77
simply,77
problem,76
information,76
4,75
part,75
whether,73
number,73
since,72
whole,72
well,72
cause,72
causality,71
three,70
people,70
interest,69
§,68
need,67
activity,67
coefficient,66
taken,66
conclusion,65
quite,64
sense,64
look,64
use,64
old,63
intellectual,62
said,62
name,62
reproducer,62
rule,60
meaning,60
intention,60
hand,59
socialized,59
get,58
second,58
motivation,58
psychological,58
reality,57
detail,57
run,57
childish,57
think,57
proverb,57
etc.,56
though,56
every,55
possible,54
asked,54
connected,54
9,54
experiment,54
present,54
reasoning,54
collaboration,53
want,53
material,52
nature,52
following,52
got,52
study,52
dialogue,52
ii,52
let,51
l,51
drawing,51
world,51
life,51
among,50
however,50
already,50
never,50
logic,50
physical,49
method,49
particular,49
collective,48
seem,48
primitive,48
adapted,48
play,48
analysis,47
event,47
b,47
away,46
sometimes,46
seen,46
proposition,46
seems,46
six,46
talking,46
used,45
last,45
intelligence,44
explain,44
matter,44
call,44
due,44
later,44
moreover,44
true,44
often,43
fairy,43
common,43
making,43
observation,43
rather,42
classification,42
contrary,42
try,42
many,42
character,42
chance,42
desire,41
tell,41
individual,41
great,41
kind,41
hypothesis,41
class,40
difference,40
factor,40
called,40
pipe,40
according,40
simple,39
term,39
instance,39
perception,39
obtained,39
habit,39
c,39
10,39
something,39
game,38
together,38
turn,38
found,38
really,38
table,38
instead,38
lack,38
whereas,38
course,38
shown,37
could,37
speak,37
towards,37
nothing,37
iii,37
spontaneous,37
account,37
psychology,37
expressed,37
note,36
able,36
handle,36
corresponding,36
yet,36
phrase,36
11,36
intermediate,36
conscious,35
development,35
analogy,35
new,35
finally,35
clearly,35
discussion,35
judgment,35
boy,34
either,34
important,34
knowledge,34
express,34
genuine,34
process,34
schla,34
might,34
alone,34
p.,34
diagram,33
else,33
four,33
han,33
command,33
natural,33
draw,33
begin,33
presence,32
person,32
end,32
proportion,32
special,32
riv,32
mechanical,32
importance,31
syncretistic,31
total,31
value,31
better,31
saying,31
definite,31
clear,31
tap,31
appear,31
rise,31
ask,31
purely,30
precausality,30
follows,30
mlle,30
maison,30
la,30
r,30
act,30
measure,30
ez,30
petits,30
distinction,30
speaking,30
movement,29
relating,29
béa,29
establish,29
plane,29
statement,29
wish,29
merely,29
absence,29
turned,29
series,29
manner,29
lake,29
w,28
le,28
thinking,28
becomes,28
real,28
longer,28
12,28
element,28
happens,28
attitude,28
obvious,27
long,27
least,27
properly,27
hearer,27
mechanism,27
interesting,27
regard,27
beginning,27
small,27
characteristic,27
consists,26
described,26
ego,26
although,26
till,26
exactly,26
mme,26
right,26
room,26
become,26
circumstance,26
human,26
realism,26
lady,26
lead,26
speaks,26
criterion,26
bear,25
man,25
immediate,25
belief,25
attempt,25
personal,25
justify,25
sort,25
mental,25
8.,25
nd,25
easy,25
almost,25
exposition,25
ch,25
opinion,25
difficult,25
tendency,25
set,24
white,24
mother,24
swan,24
invention,24
law,24
preceding,24
motive,24
effect,24
content,24
moment,24
done,23
sum,23
data,23
quarrel,23
ego-,23
neither,23
degree,23
pure,23
school,23
big,23
anything,23
book,23
enough,23
iv,23
believe,23
assumption,23
effort,23
latter,23
deduction,22
consequence,22
naturally,22
relationship,22
vol,22
several,22
expression,22
feeling,22
probably,22
anyone,22
precausal,22
constitute,22
told,22
back,22
spoken,22
explicit,22
demonstration,22
various,22
daddy,22
cat,21
distinguish,21
appearance,21
repeat,21
figure,21
yes,21
known,21
comparison,21
round,21
research,21
canal,21
aim,21
remains,21
completely,21
average,21
ng,21
god,21
confusion,21
generally,21
obviously,21
girl,21
animal,21
juxtaposition,21
influence,21
adaptation,21
parent,21
hence,20
speaker,20
interpretation,20
origin,20
line,20
mentality,20
compared,20
reader,20
immediately,20
proof,20
wh,20
definition,20
closely,20
leaf,20
whose,20
separate,20
good,20
sun,20
condition,20
half,20
position,20
formation,20
entirely,19
asks,19
doubt,19
variety,19
door,19
arbitrary,19
strictly,19
appears,19
request,19
outside,19
system,19
mere,19
definitely,19
history,19
large,19
observed,19
similar,19
earlier,19
went,19
external,19
month,19
sufficient,19
rest,18
objective,18
peculiarity,18
perfectly,18
equal,18
percentage,18
refer,18
test,18
young,18
respect,18
actually,18
notion,18
implication,18
mark,18
admit,18
amount,18
going,18
day,18
assertion,18
based,18
nevertheless,18
noted,18
rob,18
lying,18
concerned,18
grow,18
single,18
memory,18
late,17
represent,17
meet,17
statistical,17
geneva,17
indeed,17
men,17
feel,17
shut,17
page,17
0,17
hi,17
adopted,17
house,17
criticism,17
addressed,17
next,17
socialization,17
purpose,17
hardly,17
curiosity,17
et,17
complete,17
dealing,17
gradually,17
heard,17
finalistic,17
abstract,17
studied,17
death,17
belong,17
concern,17
tends,16
die,16
subjective,16
feature,16
light,16
7.,16
tion,16
help,16
constitutes,16
taking,16
examine,16
body,16
river,16
functional,16
beween,16
piece,16
fortuitous,16
certainly,16
ed,16
stern,16
communication,16
friend,16
autistic,16
full,16
so-called,16
st,16
leuzinger,16
prove,16
relate,16
14,16
style,16
centrism,16
understands,16
teacher,16
imagination,16
h,16
compare,16
structure,15
ha,15
independent,15
factual,15
significance,15
stated,15
third,15
greater,15
quoted,15
soon,15
source,15
experience,15
deal,15
statistic,15
iia,15
extent,15
perhaps,15
working,15
β,15
black,15
increase,15
changed,15
close,15
state,15
contact,15
intercourse,15
necessary,15
confused,15
essential,15
impossible,15
concerning,15
actual,15
shade,15
pretty,15
n,15
rock,14
quality,14
stay,14
co-operation,14
carried,14
explains,14
unknown,14
katz,14
main,14
ons,14
sli,14
precisely,14
happen,14
reached,14
existence,14
recall,14
communicate,14
formed,14
practical,14
1°,14
n't,14
collected,14
fastened,14
added,14
played,14
easily,14
fundamental,14
difficulty,14
reading,14
sign,14
consider,14
exchange,14
older,14
met,14
reflexion,14
13,14
correct,14
calculation,14
evidence,13
cf,13
excited,13
listener,13
edition,13
whic,13
looking,13
se,13
v,13
someone,13
apart,13
ten,13
brought,13
open,13
2°,13
investigation,13
behaviour,13
ing,13
finalism,13
remarkable,13
share,13
enfant,13
represented,13
repetition,13
straight,13
exist,13
dead,13
spelling,13
analogous,13
g,13
enquiry,13
examination,13
gesture,13
railway,13
initial,13
correspondence,13
m.piaget,13
castle,13
country,13
operation,13
necessity,13
read,13
belongs,13
tree,13
random,12
text,12
questioning,12
including,12
partly,12
—the,12
occasion,12
return,12
23,12
niobe,12
listening,12
's,12
dream,12
moon,12
trying,12
image,12
remain,12
vi,12
…,12
pencil,12
direction,12
hole,12
machine,12
distinct,12
change,12
section,12
δ,12
ever,12
piston,12
sake,12
forth,12
proper,12
arguing,12
queen,12
meant,12
red,12
30,12
serve,12
move,12
earliest,12
running,12
x,12
fourth,12
successive,12
period,12
pole,12
laid,12
mode,12
wer,12
owing,12
originally,12
co,12
16,12
stress,12
f,12
pleasure,12
solution,11
tried,11
48,11
capable,11
sky,11
king,11
v.,11
chain,11
oneself,11
ca,11
constantly,11
attention,11
worth,11
bound,11
break,11
paper,11
connecting,11
left,11
higher,11
serf,11
volume,11
iib,11
rate,11
throughout,11
bern,11
short,11
assimilation,11
consciousness,11
formal,11
keep,11
boat,11
marble,11
reach,11
parallel,11
ro,11
apparent,11
arise,11
french,11
link,11
placed,11
son,11
classed,11
evolution,11
iiia,11
sa,11
mention,11
nt,11
spontaneously,11
expected,11
exact,11
20,11
fall,11
capacity,11
directly,11
divided,11
er,11
explicatory,11
consist,11
—why,11
pointed,11
occurs,11
α,11
clash,11
mountain,11
geo,11
—no,11
en,11
hat,11
side,11
corresponds,11
contain,11
mutual,11
best,11
younger,11
answered,11
especially,11
giving,10
within,10
addressing,10
whys.,10
favour,10
quarrelling,10
ar,10
realize,10
egocentric,10
41,10
pour,10
gave,10
indicates,10
ich,10
environment,10
realization,10
explained,10
supply,10
outcome,10
ecause,10
building,10
power,10
appeal,10
gone,10
15,10
surroundings,10
showing,10
analyse,10
synthesis,10
coming,10
tend,10
came,10
similarly,10
pass,10
solve,10
previous,10
stone,10
50,10
stream,10
adapt,10
established,10
ordinary,10
1922,10
price,10
imitation,10
previously,10
sufficiently,10
eye,10
implicatory,10
please,10
particularly,10
render,10
concrete,10
looked,10
motif,10
bicycle,10
grows,10
mummy,10
truth,10
applied,10
bring,10
accounted,10
bearing,10
attribute,10
anthropomorphic,10
impression,10
verbalism,10
notice,10
colour,10
18,10
den,10
ild,10
contemporaneous,10
fo,10
subsequent,10
pr,10
cry,10
consequently,10
search,10
context,10
related,10
free,10
parcelling,10
aware,10
along,10
ought,10
frequent,10
high,10
undoubtedly,9
audience,9
fire,9
centre,9
curious,9
exists,9
discover,9
superior,9
accompanied,9
beyond,9
adopt,9
felt,9
indicated,9
soliloquy,9
psychologist,9
took,9
listen,9
confirm,9
produce,9
socially,9
author,9
158,9
association,9
dealt,9
mo,9
stick,9
lie,9
hard,9
near,9
ri,9
care,9
variation,9
43,9
step,9
deficit,9
nearly,9
task,9
playmate,9
enable,9
25,9
moral,9
communion,9
devoid,9
26,9
27,9
rhone,9
230,9
authority,9
reciprocity,9
english,9
egocentrism,9
opposed,9
considered,9
paris,9
letter,9
aloud,9
6.,9
separately,9
illusion,9
stand,9
cried,9
around,9
vii,9
except,9
een,9
connect,9
imply,9
symbolic,9
remembered,9
jug,9
telling,9
list,9
co-ordination,9
reaction,9
mistake,9
highly,9
romancing,9
imagined,9
considerable,9
birth,9
17,9
self,9
manufactured,9
21,9
mixed,9
constancy,9
proved,9
hold,9
convention,9
aspect,9
kauf,9
centric,9
behind,9
correspond,9
date,8
i.,8
iiib,8
inversion,8
objected,8
descœudres,8
rightly,8
—yes—,8
define,8
level,8
introduction,8
start,8
cost,8
such-and-such,8
hears,8
m.cousinet,8
interlocutor,8
brings,8
race,8
pas,8
tram,8
unconscious,8
peculiar,8
objection,8
visual,8
conception,8
1.,8
held,8
theory,8
29,8
5.,8
science,8
passage,8
finger,8
touch,8
led,8
conjunction,8
complex,8
epistemic,8
raise,8
agree,8
precise,8
vice,8
build,8
versa,8
lesson,8
discus,8
id,8
determine,8
institut,8
thanks,8
ith,8
derived,8
plant,8
m.,8
being,8
ce,8
gradual,8
approach,8
hei,8
n.,8
bur,8
binet,8
salève,8
society,8
garden,8
resemble,8
published,8
daily,8
lot,8
connects,8
chez,8
interrogative,8
al,8
chosen,8
elsewhere,8
remember,8
index,8
35,8
2.,8
conduct,8
satisfy,8
equivalent,8
useful,8
si,8
extremely,8
…etc.,8
seek,8
3°,8
former,8
expl,8
scholastic,8
referring,8
face,8
observer,8
tr,8
syringe,8
causation,8
coal,8
familiar,8
au,8
examined,8
symbolism,8
autism,8
finished,8
grouping,8
objectivity,8
record,8
marked,8
lay,8
funny,8
woman,8
using,8
picture,8
bed,8
deductive,8
threat,8
ad,8
numerous,8
classified,8
