CORE,FREQ
E,60780
A,56251
I,54300
R,48102
N,45141
S,44186
T,43499
O,43256
L,38127
C,31358
U,26779
D,24292
M,22735
P,22016
H,19850
G,17796
Y,15381
B,14659
ER,14150
IN,13551
TI,10628
ON,9937
AT,9839
AN,9839
TE,9582
ES,9315
F,9079
AL,8860
EN,8783
IS,8551
RI,8246
RA,8133
LE,8072
RE,8009
AR,8002
V,7883
LI,7668
ST,7493
IC,7309
NE,7116
OR,6973
K,6631
RO,6586
NG,6417
NT,6350
LA,6304
ED,6281
W,5616
CO,5599
US,5580
CA,5423
IT,5309
IO,5288
DE,5245
TA,5245
ING,4971
IA,4948
MA,4944
SE,4889
NI,4740
EL,4660
CH,4611
AC,4580
SS,4553
TR,4491
TO,4436
SI,4426
DI,4400
LL,4399
NA,4395
LO,4386
HE,4287
OL,4243
ME,4234
UN,4223
LY,4099
IL,4080
EA,4028
ET,4028
AS,4007
CE,3982
PE,3847
OU,3750
TH,3741
VE,3706
ID,3655
HA,3650
MI,3624
UR,3592
ION,3545
ND,3505
OM,3487
ATI,3425
NS,3308
OS,3262
HO,3206
NO,3202
UL,3169
OP,3155
HI,3119
ESS,3093
TER,3058
TIO,2961
Z,2948
PH,2928
EC,2911
AM,2910
PA,2878
MO,2867
PO,2835
AB,2805
TION,2801
GE,2780
NC,2771
SH,2764
ENT,2721
OT,2701
CI,2682
SA,2679
X,2662
ATE,2656
PR,2645
UM,2638
DA,2636
BL,2631
EM,2552
CT,2515
NES,2498
PI,2444
AD,2429
AP,2348
OC,2312
BA,2305
RT,2270
SC,2250
IE,2173
BE,2138
BI,2123
RS,2092
AE,2085
SO,2077
IM,2063
TU,2056
NESS,2048
UT,2033
AG,1999
SP,1994
OG,1981
ATIO,1971
VI,1958
SU,1956
CU,1950
ATION,1944
IV,1938
TIC,1922
INE,1918
BO,1888
RU,1882
CR,1876
GA,1859
IR,1855
OUS,1814
IST,1814
DO,1811
RY,1806
AI,1796
LU,1792
KE,1792
GI,1790
EP,1790
IG,1778
CK,1764
OD,1750
FI,1749
GR,1725
ICA,1718
ALI,1713
ANT,1692
EE,1683
MP,1679
OO,1670
TY,1654
PL,1636
TIN,1608
BLE,1566
PER,1560
HY,1548
ALL,1531
RM,1529
ERI,1528
CON,1519
BR,1517
J,1503
IP,1493
IZ,1468
IF,1464
TT,1457
RD,1449
CAL,1436
TRA,1428
SM,1412
LIN,1399
FO,1397
AU,1391
TS,1369
VA,1355
RR,1354
Q,1340
ARI,1339
BU,1318
IVE,1311
RAT,1308
STI,1301
FE,1295
ABL,1293
ERS,1277
CL,1275
QU,1271
RES,1254
EX,1252
VER,1247
LAT,1240
TED,1239
GO,1235
STE,1227
TOR,1223
MEN,1217
OI,1211
TRI,1209
ZE,1206
LES,1204
WA,1199
RC,1190
ENE,1190
STR,1183
LIS,1181
GL,1174
RAN,1170
RIN,1169
AND,1167
OW,1166
ERA,1166
UC,1162
PRO,1156
DR,1155
NTE,1145
OB,1145
MAN,1144
NTI,1142
RN,1138
DER,1121
IDA,1120
MU,1111
THE,1099
EST,1098
PT,1093
OV,1091
FL,1091
ONI,1091
IAN,1088
IB,1083
INA,1083
NU,1082
DIS,1077
MB,1072
HER,1069
ABLE,1058
ISE,1058
AST,1057
UA,1056
KI,1032
NN,1018
STA,1015
EG,1014
GU,1011
ITI,1004
PU,1003
MIN,1003
ILI,1002
RIA,996
ELL,992
ACE,992
RIC,990
LIT,989
ILL,989
WE,987
FU,987
ECT,984
FA,974
INT,974
TING,973
AV,971
ONS,970
ITY,969
EO,969
GRA,961
EF,958
NCE,949
CTI,938
RIS,937
EI,934
ULA,932
UI,925
TIV,924
ISH,923
EU,922
SL,920
IDE,920
CHE,914
NDE,912
UB,909
PP,909
NAT,907
MAT,906
EV,899
ERE,898
ICAL,897
HR,894
OLO,889
ATO,888
DU,888
RG,880
LLY,880
CAT,872
ISM,872
IZE,868
CHI,866
CAR,863
OPH,861
ANI,859
OA,859
UP,857
ONA,854
CY,850
TRO,848
TL,844
PRE,843
WO,841
UE,836
LAN,833
WI,828
ORI,827
MENT,827
CHA,823
MM,822
HU,822
COM,818
GH,818
IU,814
TEN,811
FF,808
ARD,806
NIS,806
RAC,804
LT,800
OLI,796
NAL,795
DAE,795
ROP,791
PS,790
ONE,789
PAR,786
RB,785
LOG,783
ORT,778
YL,777
IDAE,773
LLI,771
SIS,770
UD,767
AK,765
STO,759
AY,758
ERO,758
ENS,757
TAL,756
ITE,756
UND,753
TIVE,752
YS,752
EB,751
RP,750
FOR,747
ELE,743
MON,743
FR,739
ART,739
RED,738
TIS,737
LAR,734
REA,733
ANG,731
ACT,730
LLA,728
INI,718
OME,718
ELI,716
TAT,713
ENC,708
LS,704
IAL,703
ARA,697
NTA,693
NIC,692
YP,690
TAN,688
LLE,684
SY,682
ASS,681
DS,681
ALE,680
ANC,679
OVE,677
MY,677
GEN,676
END,674
CUL,674
SSI,671
MET,670
KA,670
ALIS,669
LD,666
TES,664
ALLY,661
DL,656
RON,656
ANA,655
BER,646
LEN,644
DIN,643
ICI,640
VO,639
OMA,639
GN,637
TON,637
UG,635
OST,632
NF,631
PLA,630
ANS,627
NTER,627
TUR,626
HT,625
ITA,622
ORA,622
YC,620
ORE,619
NER,619
ERM,618
COR,617
PHO,616
DEN,614
RIT,612
ETE,611
LIC,610
HAR,608
ONT,608
ETI,607
SIN,606
CC,605
ENI,604
ENES,604
SN,604
EW,601
ROS,599
AGE,599
LER,599
DES,596
HAN,595
RL,593
RAL,592
HOR,591
MIS,590
EMI,589
OE,587
LING,586
HIN,585
PHA,583
CEA,583
RAP,583
LIA,583
URE,581
MER,580
OLOG,580
CAN,579
IND,578
MAR,578
TTE,575
NIA,575
ACK,574
REC,574
AF,570
ATA,568
HAL,568
EY,568
RING,565
SER,564
ATH,563
CEN,559
AIN,557
NIN,557
ACH,556
INS,554
PHI,554
RTI,551
VEN,551
IUM,549
REN,547
YA,546
ROU,545
YT,545
INES,543
XI,540
FUL,539
YM,538
EAR,536
URI,536
OSI,535
CHO,534
ERT,533
ALA,533
LESS,532
NK,532
OUN,528
NDI,527
LAS,527
UNC,525
STER,525
BIL,525
ZA,525
KIN,522
PIN,516
RUS,516
SK,515
RET,515
CRO,515
RK,515
SHI,515
ENESS,514
IOU,513
AW,512
HEA,512
COL,512
ROM,510
PEN,508
ORM,507
INTE,507
INC,506
MIC,503
GER,502
YN,501
NON,501
STIC,501
IOUS,500
RID,499
NGE,499
IES,499
ESI,498
APH,497
ATED,496
NTR,496
PHY,496
THO,495
ACEA,495
INO,491
NSI,491
IGH,491
RATI,491
NDER,489
POR,488
IK,487
ATOR,487
ETR,486
OVER,483
GY,481
SHE,478
TRE,478
AMI,478
TAR,477
OID,477
SPE,476
LED,476
LITY,476
EAE,476
YR,475
NGL,474
KER,474
SCO,473
ROC,471
AME,470
GG,469
SSE,469
TAB,469
NY,469
OF,469
DIA,468
UST,468
IAT,467
URA,467
OLE,467
OX,466
GHT,464
BRA,464
FER,463
THER,463
NTH,461
DIC,459
WOR,459
RAM,458
LATE,457
IDI,455
ONO,455
CEAE,455
NIT,453
TOM,453
POS,452
POL,452
MOR,451
ENTI,450
QUI,450
ROT,448
OK,447
ARE,447
OSE,445
TC,445
TIA,444
RATE,444
MAL,443
ANE,443
EAT,442
ADE,442
OMI,442
LIZ,442
AH,442
NCH,441
RH,440
ACEAE,440
CER,439
ARC,438
SEN,437
ISA,437
LLO,437
LAC,436
IONA,434
UNT,434
ERN,434
ELY,433
IMP,431
OUR,431
EDI,430
EAD,429
EMA,429
RV,427
RIE,427
CALL,427
ANTI,427
YE,426
TERI,426
ARY,425
SED,425
ERC,424
PAT,423
PLE,422
DD,422
ILE,422
PRI,422
ATU,422
ICU,421
HRO,421
ERR,420
EME,419
APP,419
LOR,418
OTI,417
OTH,417
JA,417
INESS,416
ICK,415
SAT,413
TEL,412
HOL,412
ULAT,412
OUT,411
BS,410
ATIN,410
OCK,410
SIO,409
SON,409
DY,407
LUS,407
OLA,405
SPI,404
ETA,404
ABI,404
OPE,403
HES,403
THI,403
OGI,402
LEA,401
ONAL,400
HL,400
ENO,397
IGHT,395
BAR,394
ASI,393
TIL,393
PY,392
KS,392
ZI,392
ATT,391
OLL,391
CIN,390
QUA,390
TLE,389
SIT,389
VEL,388
ACI,388
RAS,387
NED,387
AZ,387
EMO,386
SNE,386
QUE,385
RMA,385
TICA,385
CIA,384
ILIT,382
ENCE,381
ANO,381
GIN,380
JU,380
CRE,379
RIO,379
ONG,379
NV,378
OMP,378
CLE,378
ISC,377
ERAT,377
LEC,377
ARR,377
TRIC,377
ICAT,376
ENA,376
TATI,375
SLY,375
ATIV,374
OGR,373
TCH,372
IFI,371
INAT,371
ELA,370
SHA,370
USE,370
CRA,369
ADI,368
IONS,368
NCO,368
SAL,368
LET,368
BILI,368
GLY,368
HIL,368
CKE,367
DRO,367
RCH,366
LATI,365
INTER,365
LOGI,365
ENTA,364
ISTI,364
THR,364
SION,363
BRI,363
OCA,363
REE,362
ISS,362
YO,360
WH,360
COU,359
BB,359
SPO,359
NST,358
REP,358
ANCE,358
ZO,357
DING,356
ICE,356
ETT,355
RAD,354
SUB,354
PTI,353
NAR,353
REL,352
IRE,351
ECO,351
ANN,351
ALO,351
MATI,350
ATIVE,350
AMA,350
CTO,349
OGRA,349
PAN,349
STRA,348
EVE,347
OTE,347
PHE,347
OTO,347
ORS,347
ICH,346
ROL,345
TRU,343
UTI,343
SIA,343
SNES,343
AMP,342
CULA,342
SNESS,342
EAS,340
AX,340
UNI,339
MS,339
THA,339
COP,339
IME,338
SUR,337
AVE,337
OOD,337
OND,337
TIT,337
TRAN,337
CUS,337
CALLY,336
HEN,336
RF,336
ERIN,336
PIC,336
DEC,335
IEN,335
NNE,335
AIL,335
SW,335
BAC,335
BAL,335
LAM,335
TUS,335
TIONA,334
CTIO,334
AKE,334
SCA,334
NING,333
ORD,333
HEM,333
II,333
ATING,332
ORO,332
RTH,332
RAI,331
CENT,331
LON,331
RAPH,330
MEL,329
ETH,329
INGL,329
GS,329
LINE,329
DED,329
ORN,329
LM,328
RAB,327
ECTI,327
ETER,327
NET,327
SAN,326
ICALL,326
SES,326
ERY,326
ULL,326
SATI,325
ICALLY,325
CTION,324
LV,324
HEL,323
ARIA,323
COMP,322
MIL,321
HON,320
RESS,319
NDA,319
ROUS,318
RTE,318
RMI,318
RRE,317
FIS,317
ITH,317
CRI,316
EH,316
ODE,316
UNDE,315
IONAL,315
FORM,314
SID,314
ULT,314
UNS,313
MIT,313
GRAP,313
OLOGI,313
SCH,312
NSE,312
IZA,312
ULAR,311
IER,311
ACC,310
ITT,310
HIP,310
IMA,309
LOW,309
CEP,308
ENSI,307
IFO,307
EPH,307
FT,306
WAR,306
FLA,306
CLA,306
CONS,306
CAP,306
LC,306
LUM,306
LOC,306
USL,306
ORY,305
BIT,305
CES,304
SOL,304
RAG,303
SCR,303
NATI,303
GAT,303
