PREFIX,FREQ
S,10085
C,9471
P,8062
A,7398
M,5740
B,5365
D,5244
T,4972
R,4219
H,3932
E,3917
I,3543
F,3537
L,3500
CO,3209
G,3193
U,2926
N,2446
O,2361
UN,2337
IN,2121
RE,2067
CA,2033
W,1916
DE,1795
MA,1780
V,1691
DI,1648
PR,1623
PA,1463
ST,1444
CH,1341
K,1194
PE,1185
AN,1174
TR,1172
BA,1144
SU,1135
CON,1078
ME,1077
SE,1076
SA,1062
MO,1058
PO,1025
HA,996
MI,953
SP,928
LA,905
HE,899
J,868
BE,839
SC,833
DIS,824
BR,821
TE,794
HO,790
PRO,790
SH,785
AR,780
CR,773
NO,772
LI,768
BO,766
AL,756
TA,755
EX,744
GR,723
RA,707
TH,701
EN,694
LE,678
AC,667
SO,650
SI,635
PI,631
FO,630
NE,626
BU,623
PL,603
GA,603
LO,593
FL,581
TO,581
BI,580
FA,578
HY,573
PH,564
RO,561
CL,558
DO,547
MU,543
VI,538
AS,525
INT,524
FI,523
IM,515
PER,514
BL,513
PRE,511
WA,511
COM,500
FR,497
PU,480
AM,476
CAR,475
TRA,471
CE,469
VE,468
PAR,464
AP,458
AD,457
DA,451
CU,443
NA,429
Q,429
CHA,420
GE,419
AB,406
VA,406
WI,399
FE,398
QU,393
NON,383
ANT,382
GO,378
INTE,376
OV,371
COR,369
OR,368
TI,367
TRI,365
GL,360
AU,358
RI,354
STR,354
DR,350
EL,349
TU,346
STA,344
MAR,343
HI,339
MON,337
FOR,333
IMP,332
LU,327
SUB,324
OVE,322
RU,321
SL,320
OVER,316
PLA,315
SY,315
Z,313
GRA,311
POL,310
UND,307
NI,307
GU,306
FU,304
INTER,301
AT,297
HU,295
WO,292
CAL,291
MAN,290
CI,289
Y,288
HYP,288
EM,284
COL,281
WH,279
REC,277
INC,276
WE,276
CY,273
RES,272
DU,271
UNS,270
INS,270
DEC,266
STE,260
KA,259
CAN,259
BAR,255
CHI,255
IND,253
KI,252
JA,252
BRA,250
UNC,248
TRAN,248
AG,245
MY,240
SUP,237
CAT,236
MIS,236
CHE,232
TRANS,226
FLA,224
UNDE,223
CONT,223
COMP,222
JU,220
ER,220
COU,219
OB,218
SW,217
GI,216
CONS,216
THE,214
ANTI,212
SHA,209
EP,208
DES,207
MET,207
EXP,204
OP,204
APP,204
VO,204
BLA,204
NU,203
SPE,203
STO,203
SN,201
REP,200
PAL,199
MAL,198
KE,195
HAR,193
SPI,193
ANA,192
PS,192
CLA,189
OU,189
ES,187
PRI,187
SAL,187
SCH,185
QUA,182
IS,182
POLY,180
ACC,179
HEA,179
INF,178
RH,178
PEN,178
IR,177
VER,177
ALL,176
SK,176
PY,175
UNI,175
EU,175
JO,174
PARA,174
CRO,172
BRO,172
CAP,172
SHO,170
UNDER,170
MAC,170
CRA,170
MIN,169
DISC,168
OUT,168
COMM,168
SCA,168
SER,167
DEM,165
BRI,164
ENT,163
EXT,162
MIC,162
PHO,162
DEF,160
UNA,160
MONO,160
MIL,160
BAC,159
AF,158
LY,157
X,156
SCR,156
HYD,155
ASS,154
SAN,153
CHO,153
AUT,152
HOM,152
MOR,151
EC,151
ARC,151
SM,150
SPA,150
DIA,150
SHI,150
HER,149
WHI,149
PAN,149
REF,148
CRE,147
OS,147
REA,147
SOL,147
LAN,147
PAT,147
SUPE,146
SUPER,146
BAL,146
POS,145
UNR,145
SYN,145
RET,144
UR,144
HYDR,144
UNP,143
BUR,143
HEM,143
EPI,143
GEN,142
JE,142
MEL,141
SPO,141
AE,140
TER,139
MAT,138
BRE,138
COUN,138
MUS,137
CAS,137
TEN,137
HAN,137
CUR,136
STI,136
CEN,136
SCO,136
CONC,135
CER,135
BAS,135
EV,135
ELE,135
GRE,134
MAS,134
DEN,134
EA,133
INV,133
GRO,133
DEP,133
SEN,133
MICR,133
REV,132
OC,132
HOR,131
LIN,131
THR,130
HYPE,130
MICRO,130
GAL,130
BEL,129
FRE,127
FRA,127
EXC,127
ANG,127
SHE,127
CAM,127
UNCO,126
CONF,126
PROT,126
RED,126
HYPER,126
SUR,125
IMM,125
CHR,125
PIN,125
DEL,124
FLO,124
COUNT,124
QUI,124
PLE,122
PAS,122
PERI,122
TRE,122
MER,122
HAL,122
ART,122
PROP,121
STRA,121
BAN,121
END,120
BLO,120
KO,119
TUR,118
AI,118
MEN,118
HYPO,118
ET,118
SEM,118
HEL,117
DRA,117
UP,117
SQ,117
WIN,116
CLO,116
BEN,116
FORE,116
WOR,116
SQU,116
HYDRO,116
TEL,116
VEN,114
TRO,114
UNF,113
NEU,113
CENT,113
CONV,112
PHA,112
AST,111
UNRE,111
BEA,111
AV,111
REL,111
