SUFFIX,FREQ
S,17308
E,15159
Y,8570
N,7531
D,7084
A,6587
R,5991
T,5361
ED,4710
G,4543
ER,4252
NG,4159
L,4122
ING,3946
ON,3500
ES,3410
LY,3319
US,3261
M,3144
SS,2681
C,2636
ESS,2511
ION,2419
IC,2400
LE,2334
AL,2307
TE,2205
TION,2051
NESS,2019
AN,1830
H,1817
IA,1781
IS,1680
ATION,1606
NT,1520
NE,1432
O,1411
AE,1408
UM,1405
SE,1401
I,1371
ATE,1337
K,1232
TY,1215
RY,1206
ST,1171
BLE,1161
TED,1118
NS,1115
TS,1076
OUS,1018
IN,983
RS,963
ITY,950
ENT,929
TIC,908
VE,907
ABLE,901
CE,875
TER,865
TING,834
LLY,832
RE,824
SM,803
P,802
DAE,772
IDAE,767
ISM,765
IST,745
IVE,735
INE,727
OR,719
EN,688
ERS,680
ALLY,652
IAN,644
SIS,641
SH,616
ISE,607
RA,597
AR,592
ZE,589
TA,583
LA,582
DE,579
NA,566
NCE,554
CAL,552
ID,545
TIVE,538
ET,536
IUM,532
CK,526
GE,525
IZE,524
ONS,517
ENESS,513
ICAL,500
TES,489
ATED,487
ND,484
RD,479
LITY,476
LES,472
EAE,472
MENT,455
CEAE,455
LS,454
DS,444
ACEAE,440
LING,437
TOR,431
IES,429
X,427
ISH,427
RED,425
CH,422
EL,418
KE,413
MAN,411
RING,406
INESS,406
ANT,405
ELY,401
MA,399
LL,394
LED,393
ITE,373
SLY,372
EA,366
SED,364
AS,361
IONS,360
IAL,356
F,353
W,352
DER,348
NED,344
TH,342
SNESS,342
LESS,341
LER,340
NAL,337
RIA,336
CALLY,335
U,333
GY,326
ICALLY,325
ARY,324
ARD,322
IL,318
ME,316
ATING,309
AT,307
RT,305
AD,304
ILITY,303
CY,299
KER,299
DING,298
IT,298
UL,297
NIC,296
USLY,294
OUSLY,293
AGE,292
B,291
GLY,291
ONE,288
TUS,287
RUS,286
ENCE,281
NGLY,281
TLY,280
DED,279
TIONS,277
OT,276
ATIVE,275
EY,275
INGLY,275
CA,273
NING,271
AM,270
DES,269
TIS,269
BILITY,268
EE,265
STIC,265
AY,265
NIA,265
DA,264
IDE,262
NER,260
HY,258
BLY,256
ORY,256
NTS,256
ATA,255
IE,254
ATOR,253
RIC,252
OD,250
SES,250
LATE,250
LUS,250
GS,248
OGY,248
HER,247
FUL,245
CS,245
LIS,245
LIA,244
IKE,243
IOUS,242
ANCE,242
SATION,241
LOGY,241
LLA,240
OS,239
USNESS,239
ILY,238
ERY,237
KS,233
OLOGY,232
RATE,231
UR,230
ICS,229
IP,228
ZATION,227
KING,224
LAR,224
AND,224
ATES,224
NUS,224
HES,223
SA,223
URE,220
OSIS,220
DLY,220
PS,220
ANS,219
SING,218
GER,218
NY,217
LIKE,217
MY,217
PER,215
ZED,214
PE,213
ROUS,212
TORY,212
RM,212
MS,212
ONAL,211
UE,210
IUS,210
RAL,208
STER,206
RES,205
OL,203
SION,202
CUS,202
TON,201
NCY,200
TAL,197
HED,197
IZED,195
LD,194
UT,194
ERING,194
II,193
CT,192
IED,190
NATE,189
CATION,188
TABLE,186
ABLY,186
DNESS,186
OSE,186
OID,186
RIS,186
NES,185
INA,184
CTION,181
ISTIC,181
NTLY,181
ITIS,181
NGS,180
TATION,178
IDES,178
RN,177
ANA,177
ERED,176
SER,176
AH,176
IER,174
SIA,174
Z,174
VELY,173
ILE,173
RER,173
TO,172
RK,172
IONAL,171
OW,171
IBLE,169
DY,169
OM,169
ACK,169
NISM,169
HING,168
VER,168
USE,167
LIZE,167
IVELY,166
HT,166
FY,166
RATION,166
MIC,166
ICA,166
OOD,165
LISM,165
LNESS,165
EMENT,165
HIP,165
YS,165
ENS,164
LENESS,164
CES,162
ALITY,161
TRY,161
ALES,161
LATION,160
ISED,160
ENTS,160
SON,160
ERA,160
INGS,159
TUM,159
RUM,158
ATIONS,157
SHIP,157
STS,157
LIC,156
LISE,156
RI,154
ETIC,153
ULAR,153
FISH,153
EST,152
ETER,152
YING,151
GHT,150
KED,149
ETS,149
ATIC,149
PING,149
ATORY,148
GED,148
EED,148
ALS,148
ASE,148
ESIS,148
LINE,147
MIA,147
ORE,145
ORM,145
ORS,144
TIONAL,143
INS,143
OCK,142
OMA,142
TICAL,140
NDER,140
ARIA,140
SIVE,139
EAD,139
KY,139
NI,138
ALIS,138
HIC,137
HE,137
OP,137
RIAN,137
GING,136
GIST,136
IOUSLY,135
ENE,134
RON,134
IFY,133
ANE,133
VES,132
NO,132
NATION,132
ZING,132
PY,132
VENESS,131
V,131
NIST,130
OLE,129
HUS,129
LIST,128
METER,128
ATUS,128
EAN,127
ENCY,127
TERS,127
ONIC,126
MED,125
TURE,125
ULLY,125
MER,124
ULA,124
HA,124
IACEAE,124
IGHT,123
EUS,123
OGIST,123
LOGIST,123
ALL,122
PED,122
RRY,122
ALIZE,122
AIL,121
IRE,121
ORT,121
ALISM,121
OME,119
ENTLY,119
RIES,119
MES,119
PH,119
AIN,118
IR,118
NK,118
FULLY,118
GA,118
ADE,117
LAND,117
AST,117
LI,117
EDLY,117
TI,117
OMY,117
SUS,117
LET,117
RABLE,116
SY,116
WN,116
EOUS,116
ORA,116
TTER,115
ELL,115
FF,115
DO,115
IO,115
CTIVE,114
IATE,114
MING,114
ALISE,114
NTED,113
ULATE,113
ICK,113
GO,113
TTE,113
TIVELY,112
ELLA,112
NUM,112
NDS,111
ULNESS,111
LO,111
SHES,111
RO,111
WER,110
PHY,110
EAL,110
TNESS,110
GES,109
UND,108
MUS,108
LLE,108
NOUS,107
CATE,107
IZING,107
TICS,107
OUSE,106
RIDAE,106
OIDES,106
LT,105
ALE,105
RDS,105
RIUM,105
WOOD,105
LUM,105
ZER,105
CED,104
ARE,104
RIAL,104
RESS,104
TIES,104
TIA,104
ACE,103
NIAN,103
RAM,103
SSNESS,103
LLS,102
OPE,102
GICAL,102
EDNESS,102
ERE,101
RISE,100
BER,100
TIDAE,100
VING,99
INED,99
ILL,99
WAY,99
NIDAE,99
OTIC,98
UP,98
AP,98
BA,98
VED,97
ICE,97
NDED,97
TISM,97
LLED,97
FT,97
TRIC,97
ETTE,97
EMIA,97
INT,96
MENTS,96
HS,96
IDA,96
TOMY,96
ITS,95
DAL,95
CKS,94
RLY,94
EM,94
OGICAL,94
TCH,94
RINE,94
PUS,94
ERRY,94
OLIA,94
SHED,93
INATE,93
OSA,93
ATUM,93
CTED,92
OWER,92
TATE,92
TONE,92
TLE,92
FIED,91
NDING,91
LOUS,91
ITION,91
CO,91
RIZE,91
NIZE,91
YTE,91
YA,91
OWN,90
AC,90
ELS,90
WS,90
ONIA,90
VA,90
LIN,90
ISHES,90
CKER,90
LIDAE,90
STED,89
PHIC,89
APHY,89
RAPHY,89
GRAPHY,89
HEAD,89
URUS,89
ASS,88
DIUM,88
AW,88
LLING,87
TELY,87
RATED,87
OUT,87
AKE,87
NARY,87
OARD,87
ICUS,87
KA,87
RITY,86
FORM,86
MAL,86
NGER,86
EROUS,86
BE,86
LLER,86
GIC,86
CLE,86
OK,86
GIA,86
PA,86
ISER,86
NSIS,86
ELESS,85
LATED,85
AK,85
QUE,85
BOARD,85
ENSIS,85
CHES,84
DLE,84
ALIST,84
HLY,84
OOT,84
ERER,84
ISTS,84
IIDAE,84
WEED,84
OUND,83
IALLY,83
CITY,83
AKER,83
INUS,83
IFIED,82
MATIC,82
WING,82
BS,82
ORK,82
IM,82
LEY,82
IX,82
MP,82
NISE,82
CENT,81
NABLE,81
UDE,81
OX,81
PIC,81
ILLA,81
MINE,81
IANS,81
ERIA,81
OLA,81
FOLIA,81
UAL,80
AX,80
END,80
ANISM,80
CTS,80
TAN,80
