TOKEN,FREQUENCY
N,612917
01,428783
0,206498
A,163283
THE,161348
OF,155307
V,111556
02,83280
1,73896
2,73551
OR,69879
IN,68498
AND,65434
S,58773
TO,57602
3,38173
GENUS,31942
03,31442
WITH,27194
AN,26913
THAT,25333
FOR,23500
4,23426
BY,23133
ON,18315
IS,17968
AS,16360
04,15670
FAMILY,14322
5,14229
FROM,13521
05,13128
UP,13107
HAVING,11914
WHO,11818
R,11459
OUT,11121
HE,10384
USED,9557
ONE,9501
WAS,9175
HIS,8994
UNITED,8642
STATES,8491
AT,8387
TREE,8293
BE,7421
SMALL,7387
WHITE,7227
6,7189
25,6679
IT,6543
NOT,6527
PERSON,6305
ARE,6045
OFF,6017
INTO,5931
AMERICAN,5899
ORDER,5872
PLANT,5828
06,5651
LARGE,5583
FLOWERS,5477
WATER,5475
TIME,5206
ANY,5188
RED,5110
DOWN,5105
NORTH,4994
WHICH,4991
SYSTEM,4983
SHE,4791
ESPECIALLY,4744
STATE,4740
BLACK,4723
BEING,4708
MAKE,4675
SOMETHING,4610
UNIT,4571
NEW,4489
COMMON,4382
HER,4325
ACT,4310
LINE,4297
USUALLY,4260
BODY,4188
I,4172
YELLOW,4139
OVER,4077
TWO,4069
125,4032
07,4008
ALL,3736
7,3727
LONG,3725
ITS,3698
CAN,3659
SOMEONE,3654
SOME,3639
AMERICA,3618
LEAVES,3593
LIGHT,3555
OLD,3514
RELATING,3498
FISH,3477
WORLD,3470
MADE,3451
MAN,3450
TAKE,3417
THEY,3301
DAY,3267
HAVE,3259
BACK,3251
CHANGE,3219
PART,3208
PEOPLE,3203
HIGH,3189
MANNER,3182
HAS,3173
DISEASE,3164
FERN,3153
FORM,3151
BLUE,3137
8,3127
GET,3103
GROUP,3079
NUMBER,3056
SEA,3038
WHEN,3022
DICOT,3010
LAW,2991
THROUGH,2954
POINT,2950
GRASS,2918
BUT,2914
AIR,2906
FIRST,2902
BIRD,2895
RIVER,2893
THIS,2871
GREAT,2865
WORK,2829
LANGUAGE,2813
SOUTH,2801
BETWEEN,2791
YOU,2783
THEIR,2759
ACID,2758
GREEN,2735
SET,2732
AWAY,2721
CAPITAL,2720
OTHER,2712
ABOUT,2705
LIKE,2672
THAN,2655
HEAD,2628
GOOD,2619
CLASS,2593
WOOD,2576
MORE,2574
SELF,2569
EUROPEAN,2561
VEIN,2500
BLOOD,2496
CENTRAL,2487
08,2482
GO,2481
PROCESS,2480
SHAPED,2471
15,2458
AROUND,2457
166666667,2448
PLACE,2441
HOUSE,2435
CITY,2430
LIFE,2411
WERE,2403
WAR,2396
ENGLISH,2380
WESTERN,2375
EASTERN,2347
WILD,2346
JOHN,2327
OFTEN,2326
HAD,2319
SHRUB,2312
AFTER,2302
HERB,2294
SHORT,2284
GIVE,2273
WITHOUT,2265
OIL,2264
CUT,2258
YOUR,2250
TROPICAL,2247
AREA,2191
NO,2185
FOOD,2180
COLOR,2178
FRUIT,2178
WE,2177
VERY,2171
RIGHT,2165
PUT,2152
10,2144
DE,2122
FIELD,2107
QUALITY,2091
ANIMAL,2069
FLOWER,2055
NORTHERN,2053
END,2040
CONSISTING,2040
WELL,2038
FORCE,2030
PINE,2021
CELL,2019
HARD,2004
BROWN,2004
PURPLE,2003
SOUTHERN,2001
CAUSE,1989
SOUND,1984
HAND,1982
SO,1972
LOW,1969
CAR,1967
T,1964
USE,1961
GROUND,1945
RUN,1944
TYPE,1936
BREAK,1931
FIRE,1923
09,1920
MONEY,1914
SWEET,1912
BOOK,1892
COME,1882
NAME,1875
SURFACE,1872
DRUG,1868
PLAY,1867
COMPUTER,1845
POWER,1843
GREY,1840
INDIAN,1838
BORN,1837
MOVE,1836
MANY,1828
GAME,1824
HORSE,1812
MY,1808
ACTION,1803
TURN,1792
POSITION,1790
214285714,1789
THREE,1786
ROOM,1781
FREE,1769
PLANTS,1763
WHOSE,1755
ANOTHER,1747
CALL,1747
FRENCH,1747
CONTROL,1741
MILITARY,1731
TOGETHER,1730
PERENNIAL,1721
BEAN,1721
SERVICE,1711
MOUNTAIN,1710
PROPERTY,1698
WAY,1695
FACE,1692
DEVICE,1690
CENTER,1686
BALL,1681
ARTERY,1681
UNDER,1674
WHERE,1670
SAINT,1668
TRADE,1660
LEAF,1656
OPEN,1655
MUSIC,1654
WEST,1646
HOLD,1640
DO,1638
TREES,1630
RESEMBLING,1623
PARTY,1616
SECOND,1601
AGENT,1599
PAPER,1597
CHURCH,1597
ROCK,1595
EUROPE,1589
SCHOOL,1587
EDIBLE,1587
SEVERAL,1585
WILL,1581
PINK,1581
SKIN,1570
WOMAN,1566
DARK,1566
SIDE,1560
ORANGE,1560
LITTLE,1558
DOG,1555
HOME,1548
ONLY,1542
IF,1534
11,1533
HEART,1532
SOCIAL,1527
FOUND,1525
LAND,1515
SOMETIMES,1514
SOFT,1513
PUBLIC,1512
PASS,1507
AFRICA,1506
INSTRUMENT,1506
WORD,1505
HIM,1502
ASIA,1502
DOUBLE,1493
REPUBLIC,1491
BONE,1490
GOVERNMENT,1489
GAS,1484
STRUCTURE,1478
CHARACTERIZED,1472
CHILD,1472
COUNTRY,1469
YOUNG,1465
HUMAN,1463
E,1454
MEMBER,1449
LIVING,1433
DURING,1432
083333333,1432
EAST,1429
CULTIVATED,1419
ST,1417
MATERIAL,1413
BUSINESS,1413
STOCK,1412
066666667,1400
NERVE,1400
NATIVE,1400
MAMMAL,1399
ROMAN,1395
FOUR,1394
VARIOUS,1394
OAK,1390
MOST,1389
MUSCLE,1383
DISORDER,1375
EYE,1371
MACHINE,1371
FALL,1371
PERIOD,1370
DEPARTMENT,1370
BRITISH,1365
ORGANIZATION,1355
MONETARY,1354
SILVER,1353
PRESIDENT,1352
CLOSE,1349
EVERGREEN,1348
SNAKE,1346
STAR,1344
KING,1342
BEEN,1341
MOVEMENT,1341
WILLIAM,1338
CONDITION,1330
NATURAL,1323
SHAPE,1317
BATTLE,1316
AGAINST,1313
BUSH,1312
NATIONAL,1308
WIDELY,1305
ROUND,1302
FOOT,1298
CROSS,1295
033333333,1292
CHARACTERISTIC,1287
CHECK,1286
HAIR,1285
GENERAL,1283
PROGRAM,1281
FUNGUS,1280
LIQUID,1275
ROOT,1274
SIR,1271
INFORMATION,1269
COURT,1268
ELEMENT,1267
12,1260
COMPANY,1260
BOARD,1259
CHILDREN,1258
DEGREE,1252
SUBSTANCE,1251
VINE,1251
AFRICAN,1248
TABLE,1245
DEEP,1244
EARTH,1243
ME,1241
EQUAL,1240
LEFT,1238
PEA,1238
WIND,1237
BEFORE,1235
9,1235
IRON,1233
BASE,1232
ATOMIC,1228
FULL,1226
CONTAINING,1225
BIG,1219
PIECE,1217
ALONG,1217
PALM,1205
